File Path,Type,Responsibility,Imported by,Imports,Reachable from entry/router,Status
src/features/dashboard/components/dashboard/Header.jsx,ui/logic,features,,src/shared/components/common/DropdownNotifications.jsx; src/shared/components/common/DropdownProfile.jsx; src/shared/components/common/HeaderToggle.jsx; src/shared/contexts/SidebarContext.jsx; src/shared/ui/ThemeToggle.jsx,No,Duplicate
src/features/dashboard/components/dashboard/SearchModals/LegCasesLegalAds.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/SearchModals/LegCasesModal.jsx,ui/logic,features,src/features/dashboard/components/dashboard/DashboardSearch.jsx,src/features/legal-cases/components/LegalCases/LegalCaseTools/LegalCaseAds.jsx; src/features/legal-cases/components/LegalCases/LegalCaseTools/LegalCaseProcedures.jsx; src/features/legal-cases/components/LegalCases/LegalCaseTools/LegalCaseSessions.jsx,Yes,Active
src/features/dashboard/components/dashboard/SearchModals/LegCasesProcedures.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/SearchModals/LegCasesSessions.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/SearchModals/ServicesModal.jsx,ui/logic,features,src/features/dashboard/components/dashboard/DashboardSearch.jsx,src/features/legal-services/components/LegalServices/Procedures/index.jsx,Yes,Active
src/features/dashboard/components/dashboard/Sidebar.jsx,ui/logic,features,,src/assets/images/index.js; src/shared/contexts/SidebarContext.jsx,No,Unused candidate
src/features/dashboard/components/dashboard/charts/BarChart01.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/utils/Utils.js,No,Unused candidate
src/features/dashboard/components/dashboard/charts/BarChart02.jsx,ui/logic,features,src/features/dashboard/components/dashboard/dashboard/DashboardCard09.jsx,src/shared/contexts/ThemeContext.jsx; src/shared/utils/themeColors.ts,No,Suspicious
src/features/dashboard/components/dashboard/charts/BarChart03.jsx,ui/logic,features,src/features/dashboard/components/dashboard/dashboard/DashboardCard11.jsx,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/utils/Utils.js,No,Suspicious
src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx,ui/logic,features,src/features/dashboard/components/dashboard/charts/BarChart01.jsx; src/features/dashboard/components/dashboard/charts/BarChart03.jsx; src/features/dashboard/components/dashboard/charts/DoughnutChart.jsx; src/features/dashboard/components/dashboard/charts/LineChart01.jsx; src/features/dashboard/components/dashboard/charts/LineChart02.jsx; src/features/dashboard/components/dashboard/dashboard/DashboardCard08.jsx,src/shared/utils/Utils.js; src/shared/utils/themeColors.ts,No,Suspicious
src/features/dashboard/components/dashboard/charts/DoughnutChart.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/utils/Utils.js; src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/charts/LineChart01.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/utils/Utils.js,No,Unused candidate
src/features/dashboard/components/dashboard/charts/LineChart02.jsx,ui/logic,features,src/features/dashboard/components/dashboard/dashboard/DashboardCard08.jsx,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/shared/contexts/ThemeContext.jsx; src/shared/utils/Utils.js,No,Suspicious
src/features/dashboard/components/dashboard/charts/RealtimeChart.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard01.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard02.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard03.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard04.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard05.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard06.jsx,ui/logic,features,,src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard07.jsx,ui/logic,features,,src/shared/contexts/ThemeContext.jsx; src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard08.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/ChartjsConfig.jsx; src/features/dashboard/components/dashboard/charts/LineChart02.jsx; src/shared/utils/Utils.js,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard09.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/BarChart02.jsx; src/shared/components/common/Tooltip.jsx; src/shared/utils/Utils.js,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard10.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard11.jsx,ui/logic,features,,src/features/dashboard/components/dashboard/charts/BarChart03.jsx; src/shared/utils/themeColors.ts,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard13.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardCard14.jsx,ui/logic,features,,,No,Unused candidate
src/features/dashboard/components/dashboard/dashboard/DashboardMultCards.jsx,ui/logic,features,,src/shared/lib/utils.js,No,Unused candidate
src/features/dashboard/pages/DashboardPage.jsx,ui/logic,features,src/app/App.tsx,src/shared/layout/AppShell.jsx,Yes,Active
src/features/documents/pages/DocumentsHubPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/components/common/SectionHeader.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/lib/utils.js,Yes,Active
src/features/finance/components/Financially/ClientAccount/index.jsx,ui/logic,features,src/features/finance/components/Financially/index.jsx,src/shared/contexts/LanguageContext.jsx,No,Suspicious
src/features/finance/components/Financially/Expence/index.jsx,ui/logic,features,src/features/finance/components/Financially/index.jsx,src/shared/services/api/axiosConfig.js,No,Suspicious
src/features/finance/components/Financially/index.jsx,ui/logic,features,,src/features/finance/components/Financially/ClientAccount/index.jsx; src/features/finance/components/Financially/Expence/index.jsx,No,Duplicate
src/features/finance/pages/CaseFinanceSummaryPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/components/Finance/FinanceSummaryCards.jsx; src/shared/components/Finance/LedgerTable.jsx; src/shared/components/common/SectionHeader.jsx; src/shared/contexts/AlertContext.jsx; src/shared/contexts/LanguageContext.jsx; src/shared/services/api/finance.js; src/shared/ui/button.jsx; src/shared/ui/input.jsx,Yes,Active
src/features/finance/pages/CreateTransactionPage.jsx,ui/logic,features,src/app/routes/AuthRoutes.jsx,src/shared/components/Finance/TransactionForm.jsx; src/shared/components/common/SectionHeader.jsx; src/shared/contexts/LanguageContext.jsx,Yes,Active
